               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2017,             0.93234,               1.008,             0.82065,             0.85006,             0.89378,             0.69436,              0.8805,             0.72465,             0.89605,            0.070173,           0.0033141,           0.0033141
                   1,              1.2374,              0.6355,             0.97594,             0.98767,             0.98107,             0.99398,             0.70775,              1.0372,             0.50619,             0.90933,            0.040108,           0.0065816,           0.0065816
                   2,               1.291,             0.75999,             0.99244,              0.9762,             0.97555,             0.99326,             0.73843,             0.94957,             0.76595,             0.89561,           0.0099758,           0.0097831,           0.0097831
                   3,              1.3137,             0.72067,             0.98711,             0.98968,             0.98316,             0.99407,             0.69958,              1.0602,              0.7456,             0.93662,            0.009703,            0.009703,            0.009703
                   4,              1.2474,               0.613,             0.97208,              0.9924,              0.9869,             0.99433,             0.73073,             0.93258,              0.4848,             0.89456,            0.009703,            0.009703,            0.009703
                   5,              1.1715,             0.57649,             0.93709,             0.99201,             0.98964,             0.99457,             0.77621,             0.82693,             0.41546,             0.86993,            0.009604,            0.009604,            0.009604
                   6,              1.1678,             0.55678,             0.92663,             0.99181,             0.99032,              0.9945,             0.76197,             0.90687,             0.43074,             0.87995,            0.009505,            0.009505,            0.009505
                   7,              1.1228,             0.53015,             0.92322,             0.99089,             0.99069,              0.9946,             0.79353,             0.80372,              0.3905,             0.85774,            0.009406,            0.009406,            0.009406
                   8,              1.0547,             0.50016,             0.91333,             0.99348,             0.98918,              0.9946,             0.78735,             0.84116,             0.39664,             0.86634,            0.009307,            0.009307,            0.009307
                   9,              1.0728,             0.48106,             0.90567,             0.99421,             0.98961,             0.99456,             0.80672,             0.78833,             0.38173,             0.85495,            0.009208,            0.009208,            0.009208
                  10,              1.0307,             0.46747,             0.91077,              0.9924,             0.99117,             0.99444,             0.79036,             0.82146,             0.37509,             0.86366,            0.009109,            0.009109,            0.009109
                  11,             0.99557,             0.48663,             0.90145,             0.99149,             0.99188,             0.99453,             0.81442,             0.74832,             0.37605,             0.84886,             0.00901,             0.00901,             0.00901
                  12,              1.0021,             0.45233,             0.90179,             0.99401,             0.99183,              0.9947,             0.79732,             0.80486,             0.36596,             0.85539,            0.008911,            0.008911,            0.008911
                  13,             0.99082,             0.45327,             0.89316,             0.99166,             0.99245,             0.99462,             0.81035,             0.76715,             0.36018,              0.8501,            0.008812,            0.008812,            0.008812
                  14,              0.9495,             0.45338,             0.89154,             0.99372,             0.99032,             0.99464,             0.80962,              0.7538,             0.35666,             0.84925,            0.008713,            0.008713,            0.008713
